participantlabel,r3score
6384704a7b906e6298d5087f,14
639fdcf5efa9e98ed809d0df,6
63a3375101319bb7cb39f654,10
63a77363dd6fabebef211019,4
63af62a1d6cc4166b7a6e646,1
63c729dc513a1d0918f99d98,6
63d00f33d7efb157962e105b,11
63d038b1a4c7fdf5bb9259a0,16
63d29a1e50cf0f82998d2564,13
63d405a83ba700cc5bb12e9c,17
63d408a690705bd9c54c50a6,16
63d420b1d5b7dc6a3a4c50aa,2
63d7b16595cb392c4501cc1e,18
63d8c92d2f5a27eb3c7edb89,16
63da9d744c860382808770bd,5
63dbddb434d075a0bff1dbc7,16
63e52076fc677ee3ccce9a4d,11
63e55f03b3c1f7481cec6eb9,10
63e5885f80bfde889d559aa9,16
63ea6344bf5cfafd40b0dce2,16
63ef9075e5af59d34db2fe5d,18
63f2cff7f0a6f682868f2ca0,2
63fa47854a6eae0d497059e5,20
6400d9b9ff7296c2bce939ef,20
640349ae900739316aca0f9f,9
641a43f78351cc4fefe31190,7
64359e5b9995e7d3b31bc2fc,16
643abe2183fc66157d8b0b9c,9
643ebfff661435ecda5a3580,4
6442eafb1f2addb162d50517,18
6443ebb84fc33e703937a6f9,11
6444b1e677ebe8b4e2c23abd,13
6447b565df936347833ab73d,10
64481bca476d6bfbae2066e2,10
6449103e84f82d613e8d6d73,16
64650afa150778d11c8b81db,9
64677608fcea37852641c1d5,16
646b776eca37542a899c1de5,11
647652cb5644044df439e1fb,9
647845ab90c460ec4a86efba,8
648978eef0a4e73b67c9c153,12
648b0da96c691f55898087bf,13
648dd5ff84a1dfe40201f286,14
64ba9642130597dc3e7ee6bb,12
64bbe3ccf05e537a07257be2,18
64d1362c539c9befa2bfc914,9
6501bb247a918443bb34fc33,16
65099be3415f7ca701bb2a0b,16
652177a98948564c40f43f99,21
652809036a4ca0c161cda6e7,2
652942ba7a6bc3c9f6aa792d,1
652d8a4cd08c6435db58fd9b,16
652d8afc5aaab078ef2baeb3,13
652ecb92078fe073ab29b920,0
65368c3a27f9818abb93b30f,12
6544b6b0048c6646e5bf4db8,5
