participantlabel,r3score
5d0f9b5a905351000124f56c,28
5d13d6a2d4888600182efdd6,16
5d150669b296b500187df8f9,24
5d192384c1e685001a907257,17
5d24e4ba5018e900158d31f1,21
5d24e7aec81128001721628f,4
5d260d4255a29b0017698915,16
5d2e3cdf6835130001aa16f0,9
5d30790f326b0f0017a2a828,18
5d30c1a3bb673e00016b0520,13
5d329756062745001921494a,2
5d33589df665c6001ab9a801,18
5d337586669d96001cbbb059,11
5d34862748bf98000146b64f,19
5d35c29a467d18001981d677,12
5d3cc4bd1850400016d2bb66,16
5d3df3d633b894001a2596a3,9
5d403b7d4e509a0019f664f0,6
5d40959e4db54a0016fecb7b,20
5d41d708128a05000183c461,16
5d4252914733ca0018ff29d7,3
5d47901043518d0017bf3c04,8
5d47976c4f91710001d9fc91,14
5d4bf8571348c800174c6ecb,19
5d514a73f20feb00160b5e0e,16
5d5167d1374c5d0001b56d8b,8
5d52aab4d01b31001941a7f1,9
5d53ddf96937fb000171d892,10
5d5a48a67ca41f0001e97f8b,19
5d5bbd713348d20019c7e832,27
5d5d65f84bd7800017a4f90e,25
5d5eb07672a0690001cee147,16
5d614557fb93530016803b43,24
5d63c128888f91000176ecbc,9
5d654a1e855d77001b10dd92,17
5d67a2bf6cd320001a36cb6b,12
5d6c10948cb0f70017b1f7a4,17
5d75674dc410fd000166d2f0,10
5d776e218a8d1d00166d36a6,21
5d7a1fce27fb8a000196993e,12
5d7f74f4ed58b60016490887,19
5d7fd2a5987f70001602d95b,17
5d7fea714477a000012cc297,11
5d837955f1038a001f8d4ed6,11
5d920df12b679a00182bbc73,12
5d953b22b7555900159f2913,19
5d95fe287f664d0016591f9b,16
5d963188ed650700146ba4b6,14
5d9750fe74d24900145633a7,11
5d9b02cd4ce5d302eb84801d,19
5d9b5e2d8465bf02e1190626,16
5da0e89440b1c70014aaf74b,10
5da486f989f3800015f5a4d3,18
5da5d4ea6f5d4400138def3f,12
5da8566c033d5700135798fb,17
5da9a1659413e4001505d7f7,9
5dae30fea05d370017a0b47f,8
5db6fa3b20430d000d2eb752,12
5dba0ce7001ffa06b367c544,9
5dbecb5e30c4d737494efe10,12
5dbf5fe16849043f135aa2c0,18
5dc0257aff9c98465fc57ada,9
5dc135efa0910f0afef40b64,19
5dc6d78cac77c74d18692044,7
5dc860e9dcc83f5d2d85ec67,12
5dc97b86f375a969573c2c7a,18
5dcbcdaae41a9f869a761fef,13
5dcdb60be64aaa07c14065cc,10
5dcf402982569a08ddd84086,14
5dcfa99efd5b280bce1b835d,9
5dd2d8126ac608000a330132,1
5dd31871c5faa232d3c20365,13
5dd343f19595a13585492c99,13
5dd6d2d11228d9667276c3b7,18
5dd6e8e3e426bd67d5b1c7e0,26
5dd864447beb29822b6c1e86,19
5dd9a7ff98981d926df9ea18,24
