participantlabel,r3score
5f96d1d4c1cd3c03ad1ee15c,16
5fa1636a77c875235bd8e1f6,18
5fa3f95e37e424055200c834,12
5fa4c21a04bc5912180291bc,17
5fb274f5557bcc848df4293a,10
5fb2a8dc2549858e85afae15,19
5fb5f30ab74f4b20cdd41ec1,18
5fb7e091a2e58b415d17ab1a,8
5fb8d29daff3bb26b233b979,8
5fbf90f025a567296d943c7e,12
5fca1ed870a25c585f1a7515,10
5fd67cce91f9895969c0edee,24
5fe11e55e66d7fb4fe5629d5,17
5fe469705312ca1c46a69898,12
5ff45beefdb6e6b063b4c520,16
5ff46a6bb890b164e9ba5f8b,16
5ffb8c5b60571908f3ac19fa,16
60008e2ee4d8c913c602e0cd,18
6005f8260fead291c70fc06e,19
6007626d299a4c1474621584,9
6009f30d89becb1172102508,12
600b5191a434df19524dd1a0,10
60151380a2273d594f63aae3,13
601c6550e46634796f5fc53d,16
601fd27860b197531ca7bdcc,13
6026e312c1e1234396ed6e7d,16
602c0fc2eff74b4748e9b41e,19
6033d643f0cc960c580c716c,9
60393d92ed55293a04c77920,13
603b9be389c6cf7d0dd74fd1,10
605269ed69c7aac84a09dc72,12
60535adfff835194160cd3bb,13
6053790f2babfba77b1cfebb,8
605731872f40ec675cdf1f0b,10
605794cd71c6264c6798181b,27
605ab9d5c01d0b0fc69930c5,21
606479c20b621e3a22d6c0d5,14
606c2136f9fac4fb23f21934,9
606cf604adbb6982bb382881,14
606ddb0033f69d1a832059cd,9
606f9bca353fc36aba9ccb8b,11
60743e408fd768b1a939ed4c,8
607826462aaaafd8801142ba,16
6079fce53f74f77426b40b44,7
60858334390f28f5a4fb79d3,8
6086c333d6eb73cfdd564e90,21
608ee3228c29d0e808cc35e3,16
6091ac218e7f69f8814a5af2,17
609551c1ade88f8463666fb8,9
60a2b88063b41b4e34cf7b4a,10
60a3ac51b06fa9eb29a105bc,16
60a41548e296f3e79014e8ea,16
60a4efcabe6d8f29513a5258,18
60b36a96346dd63678e6cfe6,23
60bf8f44f1188266dd8a3e85,16
60c5165878a82f763c29536a,0
60c6cd8bacdf5d1f27924048,16
60cda1a1667997365f21e809,4
60ce350a7a082517c8666e92,18
60ce5270f1695ea416c25fc3,17
60cefee15b44bd17785295f1,12
60d0d5e930dc4a90889b2321,12
60d991b9d1168504ac7b5136,26
60e569c7dcbffadf24aa1ad0,18
60e946b21766932f648d56e0,18
60e990a445aa4bae855c303f,9
60ebe66b7b32aea5c8a892df,9
60ede71b5261321901a2a31c,13
60f4696161736ffaef73b434,11
60fb03b73448287eb43f0706,12
60fd00abc3abd38c0302fde8,20
60fded771d362f0624a42a38,22
60febe4bb7d1055665da0413,16
61003c2003503aa8e90b6a31,19
6104f643566bca4643370eba,17
610525c46749d49578a452d7,25
610713aeac4904cc5d90e76d,24
610b64dc95ff0ef5b5b9ac6b,18
6114ba31072fc0bcc226b89d,16
6116754fdcf6e3da227e654f,10
611a8d23c1d17506a23df589,5
6122548871de12f3a454e5cb,26
612266b4f9ae4a5d04a21dd4,10
6123eea8454d11a4aab5f42f,8
6128ac21a266b9cf5decd445,14
